ID,Association,Musicality,Cultural impact,Rythm response,Total
22,"0,51","1,68",3,"3,33","8,52"
23,"2,89","3,57",8,"13,32","27,78"
24,"0,68","1,26",3,"5,18","10,12"
4,"2,89","3,57",5,"9,99","21,45"
33,"2,72","3,36",7,"11,1","24,18"
34,"2,89","3,78",9,"12,58","28,25"
37,"2,72","2,94",8,"8,14","21,8"
30,"2,72","2,73",6,"8,51","19,96"
29,"2,38","3,57",6,"10,36","22,31"
31,"2,04","2,94",6,"8,88","19,86"
26,"2,55","2,73",5,"11,47","21,75"
32,"2,04","1,89",9,"6,29","19,22"
35,"2,55","4,2",9,"11,47","27,22"
36,"1,53","2,31",1,"6,29","11,13"
