ID,adapt,musique,score,score3D
14,0,0,"4,666666667","5,2"
14,0,1,"4,25","4,4"
11,0,0,"5,083333333","5,4"
11,0,1,"4,833333333","5,6"
13,0,0,"5,833333333","6,4"
13,0,1,"5,916666667","6,3"
7,0,0,"6,083333333","6,1"
7,0,1,"6,416666667","6,3"
18,0,1,"5,166666667","5,2"
18,0,0,"4,5","4,5"
5,0,1,"5,75",6
5,0,0,"5,666666667","5,8"
16,0,1,"4,5","3,7"
16,0,0,"4,416666667","3,9"
19,0,0,"6,083333333","6,1"
19,0,1,6,"6,1"
20,0,0,4,"4,1"
20,0,1,"4,083333333","4,1"
3,0,1,"5,333333333","5,3"
3,0,0,5,5
6,0,0,5,"5,2"
6,0,1,"4,583333333","4,9"
9,0,1,"3,75","3,9"
9,0,0,"5,166666667","5,2"
21,0,1,"4,5","4,7"
21,0,0,"4,166666667","4,7"
17,0,1,"5,916666667","6,3"
17,0,0,"5,75","5,9"
8,0,0,"5,416666667",6
8,0,1,"5,083333333","5,3"
15,0,1,"4,416666667","4,8"
15,0,0,"4,083333333","4,4"
